section,status,date_raw,date_iso,home_team,home_goals,home_penalties,away_team,away_goals,away_penalties,home_red_card_marker,away_red_card_marker,penalty_shootout,source
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,Güney Kıbrıs,2,,San Marino,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,Malta,0,,Finlandiya,1,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,İngiltere,2,,Arnavutluk,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,Andorra,0,,Letonya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,Romanya,0,,Bosna-Hersek,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,21.03.25,2025-03-21,Polonya,1,,Litvanya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,Lihtenştayn,0,,Kuzey Makedonya,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,Moldova,0,,Norveç,5,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,Karadağ,3,,Cebelitarık,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,İsrail,2,,Estonya,1,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,Çekya,2,,Faroe Adaları,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 1 / 10,MS,22.03.25,2025-03-22,Galler,3,,Kazakistan,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,Litvanya,2,,Finlandiya,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,İngiltere,3,,Letonya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,Arnavutluk,3,,Andorra,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,San Marino,1,,Romanya,5,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,Bosna-Hersek,2,,Güney Kıbrıs,1,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,24.03.25,2025-03-24,Polonya,2,,Malta,0,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,Moldova,2,,Estonya,3,,True,True,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,Lihtenştayn,0,,Kazakistan,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,Cebelitarık,0,,Çekya,4,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,Karadağ,1,,Faroe Adaları,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,Kuzey Makedonya,1,,Galler,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 2 / 10,MS,25.03.25,2025-03-25,İsrail,2,,Norveç,4,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Galler,3,,Lihtenştayn,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Kuzey Makedonya,1,,Belçika,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Cebelitarık,0,,Hırvatistan,7,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Estonya,1,,İsrail,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Norveç,3,,İtalya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,06.06.25,2025-06-06,Çekya,2,,Karadağ,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Bosna-Hersek,1,,San Marino,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Malta,0,,Litvanya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Andorra,0,,İngiltere,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Avusturya,2,,Romanya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Finlandiya,0,,Hollanda,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 3 / 10,MS,07.06.25,2025-06-07,Arnavutluk,0,,Sırbistan,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,Kazakistan,0,,Kuzey Makedonya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,Hırvatistan,5,,Çekya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,Belçika,4,,Galler,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,Faroe Adaları,2,,Cebelitarık,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,İtalya,2,,Moldova,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,09.06.25,2025-06-09,Estonya,0,,Norveç,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,Finlandiya,2,,Polonya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,San Marino,0,,Avusturya,4,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,Hollanda,8,,Malta,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,Sırbistan,3,,Andorra,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,Romanya,2,,Güney Kıbrıs,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 4 / 10,MS,10.06.25,2025-06-10,Letonya,1,,Arnavutluk,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Kazakistan,0,,Galler,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Litvanya,1,,Malta,1,,True,True,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Gürcistan,2,,Türkiye,3,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Hollanda,1,,Polonya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Lüksemburg,1,,Kuzey İrlanda,3,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Slovakya,2,,Almanya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Lihtenştayn,0,,Belçika,6,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,04.09.25,2025-09-04,Bulgaristan,0,,İspanya,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Yunanistan,5,,Beyaz Rusya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Faroe Adaları,0,,Hırvatistan,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Slovenya,2,,İsveç,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Moldova,0,,İsrail,4,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,İsviçre,4,,Kosova,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Karadağ,0,,Çekya,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Danimarka,0,,İskoçya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,İtalya,5,,Estonya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,İzlanda,5,,Azerbaycan,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,05.09.25,2025-09-05,Ukrayna,0,,Fransa,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,Letonya,0,,Sırbistan,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,Ermenistan,0,,Portekiz,5,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,İngiltere,2,,Andorra,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,Avusturya,1,,Güney Kıbrıs,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,San Marino,0,,Bosna-Hersek,6,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 5 / 10,MS,06.09.25,2025-09-06,İrlanda,2,,Macaristan,2,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Gürcistan,3,,Bulgaristan,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Litvanya,2,,Hollanda,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Kuzey Makedonya,5,,Lihtenştayn,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Belçika,6,,Kazakistan,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Polonya,3,,Finlandiya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Türkiye,0,,İspanya,6,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Lüksemburg,0,,Slovakya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,07.09.25,2025-09-07,Almanya,3,,Kuzey İrlanda,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,Kosova,2,,İsveç,0,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,İsviçre,3,,Slovenya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,Beyaz Rusya,0,,İskoçya,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,Hırvatistan,4,,Karadağ,0,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,İsrail,4,,İtalya,5,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,Cebelitarık,0,,Faroe Adaları,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,08.09.25,2025-09-08,Yunanistan,0,,Danimarka,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Ermenistan,2,,İrlanda,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Azerbaycan,1,,Ukrayna,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Fransa,2,,İzlanda,1,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Güney Kıbrıs,2,,Romanya,2,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Sırbistan,0,,İngiltere,5,,True,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Macaristan,2,,Portekiz,3,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Bosna-Hersek,1,,Avusturya,2,,False,True,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Norveç,11,,Moldova,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 6 / 10,MS,09.09.25,2025-09-09,Arnavutluk,1,,Letonya,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 7 / 10,MS,09.10.25,2025-10-09,Finlandiya,2,,Litvanya,1,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 7 / 10,MS,09.10.25,2025-10-09,Malta,0,,Hollanda,4,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 7 / 10,MS,09.10.25,2025-10-09,Çekya,0,,Hırvatistan,0,,False,False,False,Google Sports/Search pasted text
Grup maçları · Maç 7 / 10,MS,09.10.25,2025-10-09,Avusturya,10,,San Marino,0,,False,False,False,Google Sports/Search pasted text
